ProblemSet,RavensProblem,Agent's Answer
Basic Problems D,Basic Problem D-01,3
Basic Problems D,Basic Problem D-02,1
Basic Problems D,Basic Problem D-03,3
Basic Problems D,Basic Problem D-04,1
Basic Problems D,Basic Problem D-05,5
Basic Problems D,Basic Problem D-06,1
Basic Problems D,Basic Problem D-07,3
Basic Problems D,Basic Problem D-08,4
Basic Problems D,Basic Problem D-09,4
Basic Problems D,Basic Problem D-10,4
Basic Problems D,Basic Problem D-11,3
Basic Problems D,Basic Problem D-12,6
Basic Problems E,Basic Problem E-01,5
Basic Problems E,Basic Problem E-02,1
Basic Problems E,Basic Problem E-03,2
Basic Problems E,Basic Problem E-04,3
Basic Problems E,Basic Problem E-05,3
Basic Problems E,Basic Problem E-06,5
Basic Problems E,Basic Problem E-07,4
Basic Problems E,Basic Problem E-08,4
Basic Problems E,Basic Problem E-09,3
Basic Problems E,Basic Problem E-10,8
Basic Problems E,Basic Problem E-11,7
Basic Problems E,Basic Problem E-12,4
