id_child,removal_date,discharge_date,age_at_removal,most_recent_age,removal_county
10002,11/1/23,9/3/24,7,7,DuPage
10003,1/1/22,2/1/23,16,17,LaSalle
10005,6/11/26,NA,9,9,Lake
10008,1/1/22,NA,2,6,Clinton
10009,3/14/23,NA,10,13,Saline
10010,9/17/25,NA,17,17,Cook
10011,1/1/22,NA,3,7,Will
10014,1/1/22,NA,8,12,Woodford
10015,5/28/26,NA,11,11,Kane
10019,9/6/25,NA,2,2,Will
10020,1/1/22,6/18/23,4,5,Hancock
10021,1/1/22,4/4/25,4,7,Will
10022,1/1/22,4/24/26,3,7,Madison
10023,4/24/25,NA,6,7,Kane
10024,1/1/22,NA,10,14,Cook
10025,1/1/22,8/21/22,9,9,Marion
10026,1/1/22,NA,4,8,DuPage
10027,5/6/24,NA,7,9,Cook
10028,1/1/22,NA,9,13,DuPage
10033,1/28/22,NA,7,11,Bond
10034,1/1/22,NA,12,16,Monroe
10037,1/1/22,NA,6,10,St. Clair
10039,1/1/22,10/27/22,4,4,McLean
10040,1/6/25,NA,5,6,Schuyler
10042,3/12/23,NA,3,6,Winnebago
10043,10/5/24,NA,14,15,Kendall
10044,2/2/22,NA,8,12,Kane
10046,9/14/23,9/28/23,6,6,Kane
10047,3/25/24,NA,9,11,DuPage
10049,1/1/22,7/4/23,3,4,Cook
10050,10/14/22,4/27/24,4,5,Piatt
10052,1/1/22,12/20/24,10,12,Jefferson
10053,1/29/24,4/14/26,13,15,St. Clair
10054,6/16/25,NA,4,5,Macon
10055,7/28/25,NA,15,15,Cook
10056,9/14/23,2/8/24,5,5,Will
10057,3/12/23,NA,12,15,Peoria
10058,6/21/26,NA,16,16,Cook
10059,12/26/24,NA,11,12,DuPage
10063,1/6/22,8/5/23,10,11,Cook
10067,12/3/23,NA,2,4,Cook
10068,1/1/22,NA,5,9,Lake
10073,5/31/25,NA,11,12,Lake
10074,7/14/24,NA,15,16,Lake
10075,2/27/22,1/20/25,4,6,Cook
10076,1/1/22,3/21/23,5,6,Cook
10082,10/20/24,4/9/25,8,8,Cook
10083,3/4/24,7/6/24,17,17,Will
10084,1/1/22,NA,0,4,DuPage
10087,6/13/22,NA,9,13,Stephenson
10088,7/2/22,1/19/25,15,17,Cook
10093,3/28/22,8/12/24,3,5,Lake
10097,10/1/25,NA,12,12,DeKalb
10099,4/26/22,NA,1,5,Cook
10101,6/14/24,NA,14,16,Kane
10103,5/5/22,6/11/22,7,7,Cook
10105,1/1/22,7/26/22,7,7,Cook
10109,1/1/22,10/13/25,12,15,Sangamon
10112,8/24/25,NA,9,9,Franklin
10114,1/1/22,NA,4,8,Lake
10115,9/15/24,NA,7,8,Winnebago
10116,6/14/26,NA,16,16,Cook
10117,1/1/22,NA,13,17,Lake
10118,5/15/26,NA,5,5,DuPage
10120,1/1/22,1/17/23,2,3,Tazewell
10121,1/1/22,1/22/24,5,7,Lake
10122,6/22/26,NA,7,7,Tazewell
10126,1/3/23,NA,3,6,Tazewell
