id_child,placement_start_date,placement_end_date,resource_type_on_this_placement,placement_index,removal_county,placement_county,id_provider,placement_length
10002,11/1/23,8/8/24,kin,1,DuPage,Woodford,NA,281
10002,8/8/24,9/3/24,foster_home,2,DuPage,McHenry,504896,26
10003,1/1/22,2/1/23,kin,1,LaSalle,Knox,NA,396
10005,6/11/26,7/1/26,foster_home,1,Lake,Lake,504210,20
10008,1/1/22,3/21/22,kin,1,Clinton,Clinton,NA,79
10008,3/21/22,5/12/24,foster_home,2,Clinton,Whiteside,506734,783
10008,5/12/24,3/1/26,kin,3,Clinton,Clinton,NA,658
10008,3/1/26,7/1/26,kin,4,Clinton,Clinton,NA,122
10009,3/14/23,4/4/26,kin,1,Saline,Knox,NA,1117
10009,4/4/26,7/1/26,kin,2,Saline,Lawrence,NA,88
10010,9/17/25,10/23/25,foster_home,1,Cook,Cook,501024,36
10010,10/23/25,7/1/26,kin,2,Cook,Woodford,NA,251
10011,1/1/22,3/12/22,foster_home,1,Will,Will,506980,70
10011,3/12/22,4/29/22,foster_home,2,Will,Will,506873,48
10011,4/29/22,12/22/23,foster_home,3,Will,Will,507265,602
10011,12/22/23,4/23/25,kin,4,Will,Will,NA,488
10011,4/23/25,10/16/25,kin,5,Will,Wayne,NA,176
10011,10/16/25,10/27/25,foster_home,6,Will,Jasper,502559,11
10011,10/27/25,1/3/26,kin,7,Will,Will,NA,68
10011,1/3/26,3/24/26,foster_home,8,Will,Will,506791,80
10011,3/24/26,5/16/26,foster_home,9,Will,Putnam,505725,53
10011,5/16/26,5/19/26,foster_home,10,Will,Carroll,500325,3
10011,5/19/26,6/26/26,kin,11,Will,Will,NA,38
10011,6/26/26,7/1/26,nonfamily,12,Will,Will,800360,5
10014,1/1/22,1/15/22,foster_home,1,Woodford,Woodford,507447,14
10014,1/15/22,1/25/24,foster_home,2,Woodford,Woodford,507421,740
10014,1/25/24,1/27/24,nonfamily,3,Woodford,Moultrie,800262,2
10014,1/27/24,7/11/24,foster_home,4,Woodford,Woodford,507421,166
